AppName,TCID,STATUS,EXEDATE,ENV|CODE|DATA|REQ,TestCaseID,WeekDay,Special,Day Weight,Function,Defect
OnePlan,1,Fail,1/1/2016,"PROD2.0|import plotly|The plotly.plotly module is deprecated,|importing",10001,Friday,New Year,,,
OnePlan,2,Fail,1/2/2016,STG2.0|for x in range(10)|List out of index [15]|looping,10002,Saturday,,,,
OnePlan,3,Fail,1/3/2016,PROD2.0|Not compatible with IOS 13|Update not found|Updating,10003,Sunday,,,,
OnePlan,4,Pass,1/4/2016,,10004,Monday,,,,
OnePlan,5,Pass,1/5/2016,,10005,Tuesday,,,,
OnePlan,6,Fail,1/6/2016,"DEV2.0|print(""a[10]"")|No varible named a|retrive data",10006,Wednesday,,,,
OnePlan,7,Pass,1/7/2016,,10007,Thursday,,,,
OnePlan,8,Pass,1/8/2016,,10008,Friday,,,,
OnePlan,9,Pass,1/9/2016,,10009,Saturday,,,,
OnePlan,10,Pass,1/10/2016,,10010,Sunday,,,,
OnePlan,11,Fail,1/11/2016,"PROD2.0|data.replace(data.Name, 'NA')|Not replacing all values in Name column|manipulating data",10011,Monday,,,,
OnePlan,12,Fail,1/12/2016,STG2.0|import matplotlib.pyplot as plt|matplotlib: Package not found|importing,10012,Tuesday,,,,
OnePlan,13,Fail,1/13/2016,PROD2.0|import numpy as np|numpy: Package not found|importing,10013,Wednesday,,,,
OnePlan,14,Pass,1/14/2016,,10014,Thursday,,,,
OnePlan,15,Fail,1/15/2016,UAT2.0|import pandasa as pd|pandas: Package not found|importing,10015,Friday,,,,
OnePlan,16,Pass,1/16/2016,,10016,Saturday,,,,
OnePlan,17,Fail,1/17/2016,UAT2.0|import pandasa as pd|pandasa: Package not found|importing,10017,Sunday,,,,
OnePlan,18,Pass,1/18/2016,,10018,Monday,,,,
OnePlan,19,Pass,1/19/2016,,10019,Tuesday,,,,
OnePlan,20,Pass,1/20/2016,,10020,Wednesday,,,,
OnePlan,21,Pass,1/21/2016,,10021,Thursday,,,,
OnePlan,22,Pass,1/22/2016,,10022,Friday,,,,
OnePlan,23,Fail,1/23/2016,"STG2.0|print(data[""Weight""].std())|column doesnot exist|standard variations",10023,Saturday,,,,
OnePlan,24,Fail,1/24/2016,UAT2.0|form.submit(name[0])|Array index out of bounds|Need to specify name,10024,Sunday,,,,
OnePlan,25,Pass,1/25/2016,,10025,Monday,,,,
OnePlan,26,Fail,1/26/2016,DEV2.0|plt.show()|displaying graph without plotting it|plotting,10026,Tuesday,,,,
OnePlan,27,Fail,1/27/2016,STG2.0|for i in Age|list index out of range|looping,10027,Wednesday,,,,
OnePlan,28,Pass,1/28/2016,,10028,Thursday,,,,
OnePlan,29,Pass,1/29/2016,,10029,Friday,,,,
OnePlan,30,Pass,1/30/2016,,10030,Saturday,,,,
OnePlan,31,Fail,1/31/2016,STG2.0|for i in Age|list index out of range|looping,10031,Sunday,,,,
OnePlan,32,Pass,2/1/2016,,10032,Monday,,,,
OnePlan,33,Fail,2/2/2016,PROD2.0|Not compatible with IOS 13|Update not found|Updating,10033,Tuesday,,,,
OnePlan,34,Pass,2/3/2016,,10034,Wednesday,,,,
OnePlan,35,Fail,2/4/2016,"STG2.0|for i,j in range()|range expected 1 arguments|parsing",10035,Thursday,,,,
OnePlan,36,Pass,2/5/2016,,10036,Friday,,,,
OnePlan,37,Pass,2/6/2016,,10037,Saturday,,,,
OnePlan,38,Fail,2/7/2016,DEV2.0|print(df.columns)|df: undefined dataframe|retrive data,10038,Sunday,,,,
OnePlan,39,Pass,2/8/2016,,10039,Monday,,,,
OnePlan,40,Pass,2/9/2016,,10040,Tuesday,,,,
OnePlan,41,Fail,2/10/2016,PROD2.0|import seaborn as sns|seaborn: Package not found|Coloring,10041,Wednesday,,,,
OnePlan,42,Fail,2/11/2016,DEV2.0|plt.show()|plt:undefined name|displaying,10042,Thursday,,,,
OnePlan,43,Pass,2/12/2016,,10043,Friday,,,,
OnePlan,44,Pass,2/13/2016,,10044,Saturday,,,,
OnePlan,45,Fail,2/14/2016,"PROD2.0|import plotly|The plotly.plotly module is deprecated,|importing",10045,Sunday,,,,
OnePlan,46,Fail,2/15/2016,STG2.0|for x in range(10)|List out of index [15]|looping,10046,Monday,,,,
OnePlan,47,Pass,2/16/2016,,10047,Tuesday,,,,
OnePlan,48,Pass,2/17/2016,,10048,Wednesday,,,,
OnePlan,49,Pass,2/18/2016,,10049,Thursday,,,,
OnePlan,50,Fail,2/19/2016,"STG2.0|for i in range(0,2)|List out of Index [23]|looping",10050,Friday,,,,
OnePlan,51,Fail,2/20/2016,"DEV2.0|print(""sum is"",a+b)|No varibles named a and b|retrive data",10051,Saturday,,,,
OnePlan,52,Pass,2/21/2016,,10052,Sunday,,,,
OnePlan,53,Pass,2/22/2016,,10053,Monday,,,,
OnePlan,54,Pass,2/23/2016,,10054,Tuesday,,,,
OnePlan,55,Fail,2/24/2016,STG2.0| if i>5 |SyntaxError: invalid syntax |decision control,10055,Wednesday,,,,
OnePlan,56,Fail,2/25/2016,UAT2.0|import pandasa as pd|pandas: Package not found|importing,10056,Thursday,,,,
OnePlan,57,Pass,2/26/2016,,10057,Friday,,,,
OnePlan,58,Pass,2/27/2016,,10058,Saturday,,,,
OnePlan,59,Fail,2/28/2016,"DEV2.0|print(""sum is"",a+b)|No varibles named a and b|retrive data",10059,Sunday,,,,
OnePlan,60,Fail,2/29/2016,"STG2.0|print(data[""Weight""].std())|column doesnot exist|standard variations",10060,Monday,,,,
OnePlan,61,Pass,3/1/2016,,10061,Tuesday,,,,
OnePlan,62,Pass,3/2/2016,,10062,Wednesday,,,,
OnePlan,63,Fail,3/3/2016,STG2.0|for i in Age|list index out of range|looping,10063,Thursday,,,,
OnePlan,64,Pass,3/4/2016,,10064,Friday,,,,
OnePlan,65,Fail,3/5/2016,UAT2.0|fun(20)|arguments undefined in function|pass by value ,10065,Saturday,,,,
OnePlan,66,Pass,3/6/2016,,10066,Sunday,,,,
OnePlan,67,Pass,3/7/2016,,10067,Monday,,,,
OnePlan,68,Pass,3/8/2016,,10068,Tuesday,,,,
OnePlan,69,Pass,3/9/2016,,10069,Wednesday,,,,
OnePlan,70,Pass,3/10/2016,,10070,Thursday,,,,
OnePlan,71,Fail,3/11/2016,"DEV2.0|print(""a[10]"")|No varible named a|retrive data",10071,Friday,,,,
OnePlan,72,Pass,3/12/2016,,10072,Saturday,,,,
OnePlan,73,Fail,3/13/2016,STG2.0|import matplotlib.pyplot as plt|matplotlib: Package not found|importing,10073,Sunday,,,,
OnePlan,74,Fail,3/14/2016,"PROD2.0|import plotly|The plotly.plotly module is deprecated,|importing",10074,Monday,,,,
OnePlan,75,Pass,3/15/2016,,10075,Tuesday,,,,
OnePlan,76,Pass,3/16/2016,,10076,Wednesday,,,,
OnePlan,77,Pass,3/17/2016,,10077,Thursday,,,,
OnePlan,78,Pass,3/18/2016,,10078,Friday,,,,
OnePlan,79,Pass,3/19/2016,,10079,Saturday,,,,
OnePlan,80,Pass,3/20/2016,,10080,Sunday,,,,
OnePlan,81,Fail,3/21/2016,"DEV2.0|print(data.[""Name""])|No column named ""Name""|retrive data",10081,Monday,,,,
OnePlan,82,Fail,3/22/2016,DEV2.0|plt.show()|plt:undefined name|displaying,10082,Tuesday,,,,
OnePlan,83,Fail,3/23/2016,UAT2.0|import matplotlib as plt|matplotlib: Package not found|importing,10083,Wednesday,,,,
OnePlan,84,Fail,3/24/2016,"DEV2.0|plt.plot(x,y)|x,y : undefined variables|plotting",10084,Thursday,,,,
OnePlan,85,Fail,3/25/2016,PROD2.0|import numpy as np|numpy: Package not found|importing,10085,Friday,,,,
OnePlan,86,Pass,3/26/2016,,10086,Saturday,,,,
OnePlan,87,Pass,3/27/2016,,10087,Sunday,,,,
